entrez	symbol	duplicability	origin	essential_celllines_percentage	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	expressed_tissues_mRNA_GTEx	expressed_tissues_mRNA_protatlas	expressed_tissues_protein_protatlas	expressed_celllines_CLP	expressed_celllines_GNE	expressed_celllines_CCLE	germline_SNVs	germline_SVs	LOEUF_score
2305	FOXM1	0	Eukaryotes	0.711111	95	5580.77	0.0994401	8	14	25	28	28	934	675	1019	0.0586767	0.000416146	0.591
2308	FOXO1	0	Eukaryotes	0.445633	79	17068.6	0.145083	44	64	30	40	40	953	524	725	0.0458015	0.000508906	0.173
2309	FOXO3	1	Eukaryotes	0	82	5581.87	0.1891	41	61	30	43	43	951	597	1011	0.0520059	0.00148588	0.267
2312	FLG	1	"Last Universal Common Ancestor"	0	73	7134.21	0.02207	2	1	3	4	4		106	225	0.0428466	0.0000820816	1.96
2313	FLI1	0	Metazoans	1.67549	40	630.299	0.255128	3	3	30	41	41	944	256	413	0.039823		0.28
2314	FLII	0	"Last Universal Common Ancestor"	4.34783	122	11831.8	0.153909	0	6	30	43	43	916	675	1019	0.104544		0.607
2316	FLNA	0	Eukaryotes	0.0968054	396	220032	0.0802583	8	23	30	43	43	935	675	1019	0.0516308		0.082
2321	FLT1	0	"Last Universal Common Ancestor"	0.0895255	40	3100.37	0.173077	2	18	29	36	36	956	74	111	0.0565521	0.000249128	0.246
2322	FLT3	0	"Last Universal Common Ancestor"	0.53286	41	5224.85	0.256098	9	2	6	15	15	949	42	68	0.0574018		0.349
2324	FLT4	0	"Last Universal Common Ancestor"	0	39	5412.56	0.0944669	5	2	29	35	35	947	78	127	0.0366838	0.000489117	0.147
2332	FMR1	0	Eukaryotes	0	306	144901	0.0314583	2	9	30	43	43	925	675	1017	0.0226793		0.417
2334	AFF2	0	Vertebrates	0.100908	6	13.5602	0.4	0	55	6	14	14	959	76	107	0.0333079		0.275
2346	FOLH1	1	"Last Universal Common Ancestor"	0	11	1135.9	0.0545455	0	1	11	27	27	949	41	86	0.0395556	0.000888889	0.741
2357	FPR1	1	Vertebrates	0	145	13209.8	0.0131226	2	92	29	38	38	954	52	62	0.0304762	0.00190476	
2475	MTOR	0	"Last Universal Common Ancestor"	57.0136	235	78604	0.0656847	22	21	30	43	43	913	675	1019	0.0357003	0.00013077	0.185
2483	FRG1	8	Opisthokonts	0.323625	22	499.154	0.246753	1	2	30	43	43	895	672	1016	0.0620155	0.00516796	1.308
2492	FSHR	0	Metazoans	0.183486	39	11694.4	0.025641	4	1	1	2	2	944	1		0.0920863	0.00479616	1.215
2495	FTH1	20	"Last Universal Common Ancestor"	0.0892061	142	33176.7	0.0279692	2	23	30	43	43	956	675	1019	0.0382514		0.777
2515	ADAM2	0	"Last Universal Common Ancestor"	0.0938967	10	194.426	0.0222222	3	1	1	1	1	949	2	4	0.0603175	0.000907029	1.176
2516	NR5A1	0	Metazoans	0.178412	47	3340.12	0.103608	5	0	5	4	4	948	9	15	0.0412147	0.00144613	0.262
2521	FUS	0	"Last Universal Common Ancestor"	0.971731	517	206136	0.12607	10	59	30	43	43	928	675	1019	0.0456274	0.000633714	0.237
2534	FYN	1	"Last Universal Common Ancestor"	0.187793	475	343455	0.0300511	81	14	30	43	43	961	555	797	0.0297952	0.00124146	0.278
2538	G6PC	0	Metazoans	0	4	15.5299	0	1	53	3	5	5	945	2	3	0.104575	0.000933707	1.01
2554	GABRA1	2	"Last Universal Common Ancestor"	0	14	725.475	0.175824	10	15	1	2	2	942	8	13	0.0241228	0.000730994	0.367
2555	GABRA2	1	"Last Universal Common Ancestor"	0	3	46.387	0	5	6	2	15	15	930	61	45	0.0293542	0.000652316	0.229
2559	GABRA6	1	"Last Universal Common Ancestor"	0	11	284.81	0.0181818	2	0	0	1	1	933		1	0.125092	0.00147167	1.378
2561	GABRB2	1	"Last Universal Common Ancestor"	0	8	143.111	0.178571	9	32	2	9	9	939	52	55	0.0247396	0.00130208	0.385
2565	GABRG1	0	"Last Universal Common Ancestor"	0	2	0	1	2	17	4	2	2	947	14	11	0.0845878	0.00143369	0.808
2588	GALNS	0	"Last Universal Common Ancestor"	0	77	7408.65	0.0536569	2	9	30	43	43	940	674	1002	0.135732	0.00252525	1.013
2615	LRRC32	0	"Last Universal Common Ancestor"	0.0892061	25	1085.41	0.0266667	0	16	29	38	38	957	80	133	0.0327291		0.921
2623	GATA1	0	Eukaryotes	0.277521	100	12058.3	0.0876768	13	1	4	5	5	952	10	22	0.00887813	0.000807102	0.321
2624	GATA2	0	Eukaryotes	0.802855	67	8018.52	0.112619	6	15	28	36	36	960	488	706	0.0638889	0.00138889	0.292
2625	GATA3	0	Eukaryotes	1.76211	45	2365.57	0.131313	12	7	18	26	26	958	316	419	0.0690691		0.388
2626	GATA4	0	Eukaryotes	0.0892061	33	1133.82	0.121212	2	5	6	10	10	958	228	273	0.0662152	0.00150489	0.527
2627	GATA6	0	Eukaryotes	0.266904	16	468.669	0.15	4	200	25	30	30	964	420	545	0.0229692		0.174
2628	GATM	0	"Last Universal Common Ancestor"	0	7	310.697	0.142857	1	49	29	41	41	956	288	346	0.0606777		0.534
2632	GBE1	0	"Last Universal Common Ancestor"	0.290698	32	1918.93	0.0342742	0	0	30	43	43	942	673	1010	0.0897436	0.000949668	0.972
2674	GFRA1	0	Vertebrates	0	8	2905.56	0.142857	17	34	28	35	35	946	130	207	0.0831541	0.000716846	0.524
2719	GPC3	0	Metazoans	0	68	18443.6	0.0219491	3	3	27	36	36	947	153	218	0.0171365	0.00110558	0.162
2735	GLI1	0	"Last Universal Common Ancestor"	0.0891266	75	21166.2	0.0652252	16	6	22	21	21	927	111	189	0.0581676	0.000602773	0.924
2737	GLI3	0	"Last Universal Common Ancestor"	0.0891266	36	2630.59	0.134921	17	7	26	30	30	948	335	515	0.0672996		0.195
2764	GMFB	1	"Last Universal Common Ancestor"	0	25	1453.18	0.0533333	0	46	30	43	43	944	675	1019	0.0469484	0.00234742	1.064
2765	GML	0	Mammals	0.0978474	57	3341.89	0.0169173	2	0	1	2	2	943	24		0.0379747	0.00421941	1.465
2767	GNA11	3	"Last Universal Common Ancestor"	0.444444	65	10270.5	0.0615385	22	3	30	42	42	936	660	990	0.0232126	0.000928505	0.395
2768	GNA12	0	"Last Universal Common Ancestor"	0.0918274	45	9166.96	0.113131	9	23	30	40	40	953	673	1017	0.0542432	0.000874891	0.276
2769	GNA15	0	"Last Universal Common Ancestor"	0	30	8169.05	0.0643678	19	0	27	33	33	950	251	379	0.0525847		0.701
2770	GNAI1	3	"Last Universal Common Ancestor"	0.0892857	114	47617.7	0.0462661	77	16	29	42	42	964	530	823	0.0508475		0.379
2771	GNAI2	2	"Last Universal Common Ancestor"	0.709849	169	87512.2	0.0537475	21	47	30	43	43	931	674	1018	0.02723	0.00187793	0.393
2776	GNAQ	3	"Last Universal Common Ancestor"	0.550964	123	55756.1	0.0318539	23	26	30	42	42	946	601	937	0.0139276	0.00371402	0.302
2778	GNAS	0	"Last Universal Common Ancestor"	0.355872	130	47616	0.0703637	84	63	30	43	43	955	673	1017	0.0250723	0.00032144	0.372
2779	GNAT1	2	"Last Universal Common Ancestor"	0.281162	8	207.384	0.0357143	10	31	1	1	1	942	1	1	0.154286	0.000952381	1.546
2782	GNB1	3	"Last Universal Common Ancestor"	0.622222	157	57434	0.0902335	99	47	30	43	43	928	675	1018	0.0205882		0.145
2785	GNG3	0	Vertebrates	0.0891266	21	503.531	0.2	61	13	6	13	13	946	606	63	0.0311111	0.00444444	1.218
2788	GNG7	1	Metazoans	0	16	296.242	0.175	61	4	30	42	42	954	216	314	0.00490196		1.387
2801	GOLGA2	0	"Last Universal Common Ancestor"	0.304569	614	452879	0.023051	7	57	30	43	43	957	675	1019	0.0393314	0.000327761	0.295
2804	GOLGB1	0	Metazoans	0	73	12382.4	0.0837139	2	4	30	43	43	940	675	1018	0.0424187	0.000305904	0.42
2805	GOT1	0	"Last Universal Common Ancestor"	0.0924214	246	80370	0.0233615	1	27	30	43	43		675	1019	0.0694108	0.000807102	0.678
2846	LPAR4	0	Vertebrates	0	35	1345.65	0.0168067	2	0	1	5	5	930	25	38	0.0216216		1.766
2847	MCHR1	0	Metazoans	0.0890472	2	15.05	0	7	0	4	3	3	943	16	41	0.0829384	0.000789889	1.28
2854	GPR32	1	Mammals	0.267618	0	0	0	2	0	0	2	2	936			0.0299625	0.00280899	
2873	GPS1	0	"Last Universal Common Ancestor"	53.8773	112	12048.3	0.150097	15	42	30	43	43	942	675	1019	0.0405486	0.000596303	0.231
2874	GPS2	1	Metazoans	0.377003	97	13199.8	0.0691581	16	0	30	43	43		675	1019	0.0234455		0.583
2876	GPX1	2	"Last Universal Common Ancestor"	0	52	6646.65	0.0324284	2	15	30		0	941	625	972	0.0771757	0.00328407	1.892
2880	GPX5	0	"Last Universal Common Ancestor"	0	0	0	0	0	0	1	1	1	951	1	3	0.0542986		1.336
2885	GRB2	0	"Last Universal Common Ancestor"	37.1731	816	1075570	0.0309064	39	96	30	43	43	956	675	1019	0.0168971	0.0015361	0.357
2889	RAPGEF1	0	"Last Universal Common Ancestor"	0.797872	34	1382.3	0.194296	14	77	30	43	43	951	675	1019	0.0409079	0.000527844	0.222
2891	GRIA2	0	"Last Universal Common Ancestor"	0	38	2778.21	0.0526316	8	2	9	11	11	955	42	62	0.0286901	0.00151	0.247
2892	GRIA3	0	"Last Universal Common Ancestor"	0	27	1898.85	0.039886	4	1	11	17	17	946	23	64	0.0111857		0.193
2894	GRID1	0	"Last Universal Common Ancestor"	0	14	531.248	0.0659341	0	54	19	10	10	943	81	104	0.0687149	0.0016518	0.244
2898	GRIK2	2	"Last Universal Common Ancestor"	0	22	4525.29	0.177489	2	24	10	13	13		154	210	0.05837	0.00367107	0.262
2899	GRIK3	1	"Last Universal Common Ancestor"	0	3	42.122	0	2	53	12	12	12	940	69	92	0.0631121	0.000725426	0.192
2901	GRIK5	0	"Last Universal Common Ancestor"	0.0890472	12	1591.93	0.0606061	2	3	26	25	25	958	62	133	0.0567448		0.285
2902	GRIN1	0	Eukaryotes	1.23784	82	18331.8	0.0662451	35	0	6	1	1	952	100	95	0.0166136	0.000706964	0.309
2903	GRIN2A	0	"Last Universal Common Ancestor"	0	65	12121	0.0663462	19	52	2	6	6	951	34	53	0.0453097	0.00068306	0.188
2906	GRIN2D	0	"Last Universal Common Ancestor"	0.361011	37	1328.85	0.114114	13	16	7	2	2	950	286	386	0.0192116	0.000499002	0.167
2908	NR3C1	0	Metazoans	0.267142	312	85776.4	0.0598772	20	100	30	43	43	963	608	920	0.0509854	0.000856898	0.32
2909	ARHGAP35	0	"Last Universal Common Ancestor"	0.0895255	35	4885.16	0.110924	4	46	30	37	37	938	675	1019	0.0320213	0.000444741	0.057
2911	GRM1	0	"Last Universal Common Ancestor"	0	48	2041.53	0.238475	6	15	1	2	2	947	3	8	0.0516471	0.00167504	0.415
2913	GRM3	1	"Last Universal Common Ancestor"	0	7	138.906	0.047619	6	9	2	3	3	946	6	4	0.0648464		0.376
2915	GRM5	0	"Last Universal Common Ancestor"	4.329	23	591.323	0.0632411	4	31	1	2	2	939	7	11	0.0486799	0.00192519	0.254
2918	GRM8	2	"Last Universal Common Ancestor"	0	5	30.4859	0.1	6	6	1	8	8	950	41	55	0.115661	0.00431034	0.638
2926	GRSF1	0	"Last Universal Common Ancestor"	3.65631	88	2451.38	0.253657	1	78	30	43	43	924	675	1019	0.0715278		1.231
2931	GSK3A	1	"Last Universal Common Ancestor"	0.0890472	188	30180.5	0.0998407	0	4	30	37	37	930	675	1019	0.0220842		0.128
2941	GSTA4	0	"Last Universal Common Ancestor"	0.0911577	11	1751.41	0.0909091	0	1	29	42	42		509	751	0.0690691		0.902
2949	GSTM5	3	"Last Universal Common Ancestor"	0	11	213.63	0.0909091	0	8	26	34	34		59	10	0.0810398	0.00152905	1.545
2956	MSH6	0	"Last Universal Common Ancestor"	0	135	9602.09	0.14859	20	60	30	43	43	940	674	1017	0.0941176	0.000490196	0.498
2959	GTF2B	0	"Last Universal Common Ancestor"	61.2925	101	13861	0.0889109	30	32	30	43	43	933	675	1019	0.0464135	0.00316456	0.918
2969	GTF2I	2	Vertebrates	0	186	50098.7	0.108689	6	17	30	43	43	950	674	1018	0.00968604	0.000334001	0.27
2977	GUCY1A2	0	"Last Universal Common Ancestor"	0	14	363.617	0.197802	1	11	20	22	22	946	113	90	0.0358235	0.000436872	0.434
2990	GUSB	0	"Last Universal Common Ancestor"	0.093985	58	5914.94	0.0284332	0	4	30	43	43	949	675	1019	0.0819252	0.000512033	0.754
2995	GYPC	0	Vertebrates	0	16	573.599	0.0916667	1	0	30	43	43	934	274	399	0.0703125		1.205
3006	H1-2	3	"Last Universal Common Ancestor"	0.183655	412	274134	0.0956819	5	22	30	43	43	949	674	1016	0.261346		1.861
3007	H1-3	2	"Last Universal Common Ancestor"	0.0919118	166	20542.3	0.191457	4	4	6	11	11	945	62	106	0.21267		1.71
3008	H1-4	3	"Last Universal Common Ancestor"	0.821168	383	134925	0.137219	2	43	17	15	15	942	107	472	0.152207		1.593
3009	H1-5	0	"Last Universal Common Ancestor"	0.0901713	359	214296	0.0654518	4	18	0	7	7	944	68	67	0.10767		1.104
3013	H2AC7	19	Eukaryotes	1.48976	35	136.728	0.438655	95	21	10	9	9		287		0.251282		1.947
3017	H2BC5	27	"Last Universal Common Ancestor"	24.6575	87	34926.7	0.0973002	117	111	30	43	43	951	664	1001	0.0925926		1.971
3018	H2BC3	26	"Last Universal Common Ancestor"	17.096	313	33304.7	0.0938191	119	18	1	6	6	950	12	7	0.042328		1.919
3020	H3-3A	36	-	3.84255	145	12770.9	0.118487	0	17	30	43	43	953	610	1019	0.0147059	0.00245098	1.158
3021	H3-3B	36	"Last Universal Common Ancestor"	2.94388	83	3335.84	0.136056	3	114	30	43	43	942	675	1019	0.00490196	0.00490196	0.551
3065	HDAC1	3	"Last Universal Common Ancestor"	0.891266	604	343466	0.0564232	134	10	30	43	43	938	675	1019	0.0470263		0.405
3066	HDAC2	1	"Last Universal Common Ancestor"	0.358423	655	308668	0.0639867	85	6	30	43	43	928	675	1019	0.0136612	0.00273224	0.1
3073	HEXA	0	"Last Universal Common Ancestor"	0	52	2607.32	0.116893	0	57	30	43	43		666	1006	0.103086		0.973
3080	CFHR2	1	Vertebrates	0	3	429.758	0.333333	1	1	1	1	1	939	1	1	0.0345679	0.00123457	1.818
3082	HGF	0	"Last Universal Common Ancestor"	0	46	6482.31	0.215459	30	5	24	37	37		67	135	0.0723443		0.25
3084	NRG1	0	Metazoans	0.267142	101	16274.4	0.02	28	2	14	29	29	952	261	431	0.0880952	0.000952381	0.258
3091	HIF1A	0	Metazoans	0.0891266	396	172348	0.0714742	24	83	30	43	43		675	1018	0.04		0.309
3092	HIP1	0	"Last Universal Common Ancestor"	0.283554	61	5529.97	0.110383	9	74	30	39	39	951	618	926	0.0588235	0.00064288	0.33
3096	HIVEP1	0	"Last Universal Common Ancestor"	0	65	11503.3	0.0764423	0	18	30	42	42	962	663	960	0.0402257	0.000367918	0.173
3101	HK3	0	"Last Universal Common Ancestor"	0	30	5331.14	0.0206897	0	0	26	22	22		11	20	0.113037	0.000361141	1.166
3105	HLA-A	7	-	0	127	34547.6	0.0827397	29	39	30	42	42	956	662	1015	0.026484		0.754
3106	HLA-B	4	Vertebrates	0.183824	448	175713	0.03125	14	44	30	42	42	939	666	1016	0.0451197		0.912
3117	HLA-DQA1	1	Vertebrates	0	134	29049.8	0.0298507	27	4	30	40	40	954	133	133	0.0169935		0.97
3123	HLA-DRB1	2	Vertebrates	0.281955	120	28773.3	0.0637255	82	23	30	41	41	951	303	474	0.0513784		1.156
3127	HLA-DRB5	2	Vertebrates	0	29	947.057	0.135468	26	20	30	37	37	955	239	282	0.047619		1.849
3131	HLF	0	Metazoans	0.26738	9	57.2766	0.305556	0	21	29	35	35		77	109	0.039548		0.313
3134	HLA-F	0	Vertebrates	0	87	11050	0.0534616	13	2	30	37	37	956	560	697	0.0248869		0.933
3146	HMGB1	23	Eukaryotes	2.81307	318	97043.1	0.122195	8	167	30	43	43	921	675	1019	0.00930233		0.473
3159	HMGA1	5	Vertebrates	3.00619	179	101022	0.0926495	12	156	30	43	43	945	675	1019	0.0155763		0.509
3169	FOXA1	0	Opisthokonts	2.7972	288	65212.8	0.0409166	6	32	9	17	17	948	400	494	0.0430791		0.677
3170	FOXA2	0	Opisthokonts	0.533333	21	1364.45	0.0190476	0	13	7	13	13	950	200	274	0.0467963	0.000719942	0.477
3172	HNF4A	0	Metazoans	0.266904	92	5484.1	0.139513	5	21	7	13	13	950	112	131	0.0646976	0.00140647	0.505
3177	SLC29A2	0	"Last Universal Common Ancestor"	0	21	11045.3	0.0857143	0	34	30	32	32	942	590	832	0.0811404	0.000730994	1.411
3181	HNRNPA2B1	0	"Last Universal Common Ancestor"	2.72232	287	58870.2	0.17731	12	58	30	43	43	945	675	1019	0.0377715	0.00472144	0.218
3183	HNRNPC	11	"Last Universal Common Ancestor"	56.8072	383	145386	0.128853	14	84	30	43	43	925	675	1019	0.0239651	0.00108932	0.295
3184	HNRNPD	1	"Last Universal Common Ancestor"	0.355556	360	134980	0.10995	15	26	30	43	43	932	675	1019	0.028169	0.000938967	0.227
3189	HNRNPH3	0	"Last Universal Common Ancestor"	0	132	8203.77	0.278163	0	2	30	43	43	940	675	1019	0.0375723		0.27
3190	HNRNPK	3	"Last Universal Common Ancestor"	84.2193	393	175351	0.128888	14	22	30	43	43	947	675	1019	0.016523		0.096
3191	HNRNPL	2	"Last Universal Common Ancestor"	42.4471	1589	4318800	0.0118819	11	25	30	40	40		675	1019	0.0175439		0.244
3192	HNRNPU	0	"Last Universal Common Ancestor"	56.7301	711	357881	0.109879	23	119	30	43	43	943	675	1019	0.0311111	0.00040404	0.114
3195	TLX1	0	"Last Universal Common Ancestor"	0	14	196.509	0.186813	0	33	2	3	3	953	67	81	0.0474747	0.0010101	0.539
3204	HOXA7	0	Metazoans	0.196464	22	988.058	0.04329	0	44	17	25	25	954	307	402	0.107246		1.477
3205	HOXA9	0	Vertebrates	0.275229	27	1341.41	0.102564	2	64	17	23	23	959	255	409	0.0857843		1.618
3206	HOXA10	0	Vertebrates	0.180018	28	3372.07	0.116402	0	81	16	24	24		453	586	0.0495935		0.416
3207	HOXA11	0	Metazoans	0.560748	11	341.074	0.272727	0	29	13	12	12	959	297	442	0.0681576		0.329
3209	HOXA13	0	Vertebrates	0.178253	7	53.3212	0.380952	0	108	6	9	9	964	234	285	0.0309278		0.307
3223	HOXC6	0	Metazoans	0.0894454	12	158.582	0.121212	0	32	17	19	19		442	567	0.0950355	0.00283688	0.599
3227	HOXC11	0	Vertebrates	0.178253	20	1277.27	0.0736842	0	22	2	3	3	957	275	333	0.0822368	0.00219298	1.136
3229	HOXC13	0	Vertebrates	0.0892061	18	484.729	0.0392157	0	11	1	1	1	956	327	445	0.0585859	0.0020202	0.66
3237	HOXD11	0	Vertebrates	0.0919118	8	121.86	0.0714286	0	37	6	4	4		161	193	0.0424063	0.000986193	1.533
3239	HOXD13	0	Vertebrates	0.534283	67	6704.39	0.0316599	0	20	5	6	6	945	178	260	0.0621963	0.00194363	0.952
3242	HPD	0	"Last Universal Common Ancestor"	0	7	36.5568	0.0952381	0	0	26	20	20	947	55	68	0.0882103	0.00169635	0.666
3265	HRAS	2	"Last Universal Common Ancestor"	0.62167	680	643734	0.0156415	37	21	30	38	38	945	675	1019	0.0493827	0.00176367	0.926
3280	HES1	0	"Last Universal Common Ancestor"	0.44484	50	4196.62	0.108571	10	11	30	38	38		582	869	0.0595238	0.00119048	0.568
3281	HSBP1	2	"Last Universal Common Ancestor"	0.188857	48	5315.9	0.0682624	1	72	30	43	43	944	675	1019	0.0307018	0.00438596	1.402
3297	HSF1	0	Eukaryotes	5.69948	145	19278.2	0.0751916	19	2	30	43	43	951	675	1019	0.0535602		0.414
3300	DNAJB2	0	"Last Universal Common Ancestor"	0.471254	66	5395.33	0.102564	0	5	30	40	40	952	675	1019	0.0720165	0.00205761	1.027
3305	HSPA1L	11	"Last Universal Common Ancestor"	0.0938967	209	49089.8	0.0916912	13	3	27	3	3	953	455	203	0.0941238		1.233
3308	HSPA4	0	"Last Universal Common Ancestor"	0	433	207719	0.0764905	11	45	30	43	43	933	675	1019	0.0468254	0.000396825	0.244
3326	HSP90AB1	10	"Last Universal Common Ancestor"	0.972591	781	648885	0.0525986	49	74	30	43	43	941	675	1019	0.0409761		0.213
3339	HSPG2	0	"Last Universal Common Ancestor"	0	78	17747.9	0.0642691	11	25	29	37	37	958	584	876	0.0504706	0.000227687	0.412
3354	HTR1E	0	Vertebrates	0	8	305	0.214286	3	0	3	6	6	947	7	4	0.0474886	0.000913242	0.778
3363	HTR7	1	Metazoans	0.0900901	5	19.2589	0.4	3	16	4	10	10	947	159	245	0.0410578	0.00278358	0.68
3371	TNC	0	"Last Universal Common Ancestor"	0	9	773.239	0.305556	12	11	26	36	36	962	394	594	0.0849614	0.000454339	0.445
3385	ICAM3	0	Mammals	0.0938967	24	2477.85	0.0362319	2	3	19	43	43	953	675	979	0.0578915		1.92
3386	ICAM4	0	Primates	0.187617	42	5959.72	0.0267131	4	1		19	19	946	88		0.0330882		1.693
3394	IRF8	0	Metazoans	0.971731	24	807.543	0.141304	1	2	28	41	41	948	166	213	0.0527523	0.00152905	0.344
3399	ID3	0	Vertebrates	0.0899281	54	6056.93	0.0566038	1	33	30	41	41	938	637	964	0.106443		0.709
3417	IDH1	1	"Last Universal Common Ancestor"	0	87	9192.54	0.114943	8	4	30	43	43	950	675	1019	0.12963	0.00161031	1.327
3418	IDH2	0	"Last Universal Common Ancestor"	0	121	17228.7	0.0979339	1	16	30	43	43	938	672	1012	0.0803835		0.384
3429	IFI27	0	Eukaryotes	0	7	90.7114	0.190476	1	3	30	39	39	955	370	508	0.0136612	0.00546448	1.737
3437	IFIT3	0	"Last Universal Common Ancestor"	0	76	16859.3	0.148772	1	27	30	43	43	955	476	784	0.0326531		1.184
3480	IGF1R	0	"Last Universal Common Ancestor"	4.4905	182	87319.5	0.0970797	12	237	29	38	38	963	619	933	0.0594977	0.000731529	0.306
3481	IGF2	0	Vertebrates	0	38	6963.35	0.0540541	12	46	29	36	36	946	196	279	0.0211864		1.131
3482	IGF2R	0	"Last Universal Common Ancestor"	0.0938967	123	55965.2	0.0539784	21	70	30	42	42	952	674	1017	0.0463	0.00053526	0.212
3516	RBPJ	4	Opisthokonts	0.8	147	55512.4	0.0628087	41	80	30	43	43	931	675	1019	0.0233333		0.241
3551	IKBKB	0	"Last Universal Common Ancestor"	0.358102	195	38171.4	0.112503	35	11	30	42	42	928	675	1019	0.0520282	0.000881834	0.29
3552	IL1A	0	Mammals	0.189215	15	365.798	0.0190476	6	14	2	11	11	947	142	257	0.0369004		1.309
3553	IL1B	0	Vertebrates	3.04083	21	1486.78	0.0809524	5	6	10	34	34	960	205	309	0.0297398		0.648
3561	IL2RG	0	Vertebrates	0.0949668	39	5302.86	0.097166	34	0	27	41	41	953	183	282	0.00903342	0.000903342	0.209
3566	IL4R	0	Vertebrates	0.0940734	48	4001.67	0.0851064	8	4	30	43	43	956	611	898	0.0153535	0.00121212	0.832
3572	IL6ST	0	Metazoans	0.266904	52	13295	0.0965309	28	94	30	41	41	961	652	979	0.0417574		0.228
3575	IL7R	0	Vertebrates	0	144	23912.5	0.102176	18	22	25	42	42	954	258	398	0.0588235	0.000726216	1.04
3579	CXCR2	1	Vertebrates	0	35	5962.4	0.0554622	8	18	7	26	26	946	17	38	0.0546296	0.000925926	1.132
3597	IL13RA1	0	Vertebrates	0.190114	15	1191.27	0.0666667	5	2	30	41	41	950	600	898	0.0179547	0.00078064	0.323
3607	FOXK2	0	Eukaryotes	0.178253	179	33844.7	0.0761409	1	84	30	41	41	947	675	1019	0.0717172	0.0010101	0.58
3621	ING1	0	Eukaryotes	0	82	7937.92	0.180668	8	42	30	43	43	928	675	1019	0.0450237	0.00157978	0.756
3624	INHBA	0	Vertebrates	0	24	1057.3	0.188406	4	47	16	26	26		239	374	0.0273865		0.251
3631	INPP4A	0	"Last Universal Common Ancestor"	0	12	605.626	0.151515	0	8	30	42	42	948	671	1014	0.0545889	0.00034118	0.249
3636	INPPL1	0	"Last Universal Common Ancestor"	0.178094	148	54376.3	0.0785071	1	7	30	42	42	940	675	1018	0.0702173		0.423
3643	INSR	0	"Last Universal Common Ancestor"	0.178253	166	56187	0.0661555	10	4	30	41	41	955	512	793	0.0463097	0.000723589	0.453
3646	EIF3E	1	"Last Universal Common Ancestor"	60.0146	163	19194	0.174279	7	6	30	43	43	934	675	1019	0.0449438	0.00224719	0.533
3659	IRF1	0	Metazoans	0	41	1188.05	0.185366	1	32	30	43	43	965	660	985	0.0369231	0.00102564	0.256
3660	IRF2	0	Metazoans	0.444444	100	7781.79	0.0690909	1	31	30	43	43	940	673	1011	0.0429799	0.00095511	0.42
3662	IRF4	0	Metazoans	3.44515	29	1304	0.0394089	1	24	14	27	27	950	118	142	0.0273466	0.000739098	0.382
3663	IRF5	0	Metazoans	0	39	2403.88	0.156545	1	1	29	41	41	952	412	549	0.0590143	0.000648508	0.595
3664	IRF6	0	Metazoans	0.0891266	9	142.267	0.0277778	1	1	27	36	36	949	328	470	0.0378301	0.000713776	0.132
3665	IRF7	0	-	0	75	4604.14	0.0998198	12	2	30	12	12	949	546	854	0.0665375		1.568
3667	IRS1	0	Metazoans	0.70922	119	12299.7	0.154394	15	40	29	34	34	958	610	864	0.0681696	0.000805153	0.502
3676	ITGA4	0	"Last Universal Common Ancestor"	0.0890472	534	169099	0.072967	29	1	20	41	41	946	300	474	0.0545866	0.000322997	0.474
3682	ITGAE	0	"Last Universal Common Ancestor"	0	7	170.311	0.190476	2	0	30	13	13	936	672	1016	0.0483461	0.000282725	0.884
3685	ITGAV	0	"Last Universal Common Ancestor"	16.1681	118	29871.1	0.0617123	89	8	30	38	38	964	657	990	0.0779262	0.00159033	0.443
3695	ITGB7	0	"Last Universal Common Ancestor"	0	27	1549.04	0.0655271	4	0	23	38	38	956	215	302	0.0730994	0.000835422	0.649
3697	ITIH1	0	"Last Universal Common Ancestor"	0	16	323.142	0.175	1	1	3	2	2	949	1	2	0.0944018	0.000365898	1.23
3702	ITK	0	"Last Universal Common Ancestor"	0.178094	49	2449.37	0.220238	6	10	18	19	19	944	23	37	0.0736559		0.712
3707	ITPKB	0	"Last Universal Common Ancestor"	0.0890472	22	1314.68	0.121212	0	42	30	42	42	943	576	740	0.0267794		0.148
3710	ITPR3	0	"Last Universal Common Ancestor"	0	94	41312.1	0.0725235	4	5	30	36	36	951	651	964	0.0912268	0.000249594	0.569
3716	JAK1	0	"Last Universal Common Ancestor"	0.355872	176	53987.4	0.0641558	119	17	30	43	43	950	673	1016	0.02513	0.000866551	0.214
3717	JAK2	0	"Last Universal Common Ancestor"	0.358423	147	45104.1	0.105768	119	14	30	42	42	927	584	840	0.0665489	0.00117786	0.341
3718	JAK3	0	"Last Universal Common Ancestor"	0.267618	88	5890.66	0.0783699	41	13	29	37	37	949	170	301	0.0465599	0.00059312	0.525
3725	JUN	0	Metazoans	2.46262	323	135554	0.0688422	22	37	30	42	42	962	661	998	0.0362538	0.00100705	1.02
3735	KARS1	1	"Last Universal Common Ancestor"	95.1043	144	11741.5	0.168998	4	20	30	43	43	912	675	1019	0.104533	0.00106667	0.905
3739	KCNA4	0	"Last Universal Common Ancestor"	0.639854	63	9025.3	0.0593958	0	9	3	4	4	952	14	15	0.0398162		0.281
3742	KCNA6	1	"Last Universal Common Ancestor"	0	17	629.58	0.0588235	0	2		0	0		28	70	0.042218		0.526
